HGT_prl,time,lat,lon,TMP_prl,TMP_2m,APCP_sfc
5853.79,701870400.0,,,292.00098,298.3396,5.015625
5853.79,701892000.0,,,289.75098,291.3396,1.1953125
5852.79,701913600.0,,,290.5791,296.9021,5.464726e-14
5852.79,701935200.0,,,289.1416,296.8396,0.0
5853.29,701956800.0,,,290.4541,299.55835,0.0
5854.29,701978400.0,,,291.48535,299.43335,0.0
5854.79,702000000.0,,,291.61035,299.68335,0.0
5854.79,702021600.0,,,290.6416,299.37085,0.0
5854.79,702043200.0,,,288.56348,299.5271,0.0
5855.79,702064800.0,,,287.37598,299.37085,0.0
5854.79,702086400.0,,,285.87598,299.37085,0.0
5853.79,702108000.0,,,285.87598,299.43335,0.0
5853.79,702129600.0,,,287.8916,299.24585,0.0
5853.79,702151200.0,,,289.75098,299.18335,0.015625
5854.29,702172800.0,,,292.5791,298.80835,0.0
5853.79,702194400.0,,,292.00098,298.68335,0.0078125
5853.79,702216000.0,,,291.12598,299.30835,0.0
5852.79,702237600.0,,,291.21973,299.1521,0.0
5852.79,702259200.0,,,291.23535,299.12085,0.0
5854.79,702280800.0,,,291.2666,299.49585,0.0
5854.79,702302400.0,,,290.4541,299.37085,0.03125
5853.79,702324000.0,,,291.1416,299.37085,0.15625
5853.79,702345600.0,,,289.75098,298.8396,0.015625
5853.29,702367200.0,,,289.2041,299.12085,0.03125
5855.79,702388800.0,,,288.25098,299.30835,0.0
5856.79,702410400.0,,,291.4541,299.24585,0.0
5858.79,702432000.0,,,291.8291,299.24585,0.0
5858.79,702453600.0,,,293.04785,299.9646,0.0
5857.79,702475200.0,,,292.65723,300.4021,2.9430636e-28
5854.79,702496800.0,,,292.87598,300.43335,0.0
5851.79,702518400.0,,,293.11035,300.62085,0.0
5850.79,702540000.0,,,292.73535,300.80835,0.0625
5850.79,702561600.0,,,292.61035,294.49585,9.892781e-14
5853.79,702583200.0,,,290.68848,295.2771,0.0234375
5850.79,702604800.0,,,288.6416,293.87085,0.265625
5850.79,702626400.0,,,289.03223,294.5271,0.0546875
5851.79,702648000.0,,,289.71973,298.24585,0.0
5852.79,702669600.0,,,289.98535,299.3396,0.0
5853.79,702691200.0,,,290.90723,299.37085,0.0
5853.29,702712800.0,,,290.29785,299.43335,0.0
5852.79,702734400.0,,,289.75098,299.3396,0.0
5853.79,702756000.0,,,289.06348,299.24585,0.0
5855.29,702777600.0,,,287.61035,299.18335,0.0
5854.79,702799200.0,,,287.62598,299.12085,0.0
5854.79,702820800.0,,,286.61035,299.0896,0.0
5855.79,702842400.0,,,290.61035,298.99585,0.0
5855.79,702864000.0,,,291.7041,298.55835,0.0234375
5855.79,702885600.0,,,293.65723,298.4646,0.0
5854.79,702907200.0,,,292.06348,298.1521,0.0
5854.79,702928800.0,,,291.0791,298.74585,0.0
5853.79,702950400.0,,,291.40723,298.68335,0.0
5854.79,702972000.0,,,291.0166,299.0896,0.0
5854.79,702993600.0,,,290.92285,299.12085,0.0
5854.79,703015200.0,,,290.8291,299.2146,0.0
5849.79,703036800.0,,,290.29785,298.55835,0.015625
5848.79,703058400.0,,,291.23535,298.49585,0.0234375
5848.79,703080000.0,,,290.7041,298.4021,0.0078125
5851.29,703101600.0,,,291.4541,298.37085,0.0546875
5853.29,703123200.0,,,292.23535,298.93335,0.0703125
5855.79,703144800.0,,,292.11035,299.43335,0.0390625
5854.79,703166400.0,,,292.5791,299.99585,0.0
