time,latitude,longitude,UGRD_10m
1065549600.0,,,2.883294
1065571200.0,,,3.445793
1065592800.0,,,2.7114182
1065614400.0,,,2.992667
1065636000.0,,,-1.6323305
1065657600.0,,,1.7582914
1065679200.0,,,-0.56983244
1065700800.0,,,-1.1167046
1065722400.0,,,0.023918549
1065744000.0,,,0.4926676
1065765600.0,,,0.07079392
1065787200.0,,,-0.6948312
1065808800.0,,,-1.4292063
1065830400.0,,,-0.19483285
1065852000.0,,,0.9145431
1065873600.0,,,1.2582936
1065895200.0,,,-0.9292064
1065916800.0,,,0.91454595
1065938400.0,,,0.77392024
1065960000.0,,,0.5707985
1065981600.0,,,0.28952864
1066003200.0,,,-3.0542057
1066024800.0,,,-2.5385785
1066046400.0,,,-2.616708
1066068000.0,,,-2.991707
1066089600.0,,,-2.7573316
1066111200.0,,,-2.4917068
1066132800.0,,,0.41454497
1066154400.0,,,2.680169
1066176000.0,,,3.0082943
1066197600.0,,,3.2426686
1066219200.0,,,3.1645436
1066240800.0,,,3.2426677
1066262400.0,,,1.3676637
1066284000.0,,,-0.6323301
1066305600.0,,,-0.86670715
1066327200.0,,,-0.46045828
1066348800.0,,,-0.5854577
1066370400.0,,,-0.6948347
1066392000.0,,,1.0864153
1066413600.0,,,-0.2729539
1066435200.0,,,-1.3823323
1066456800.0,,,0.53954256
1066478400.0,,,0.86766696
1066500000.0,,,1.0082927
1066521600.0,,,0.7270438
1066543200.0,,,-1.2573314
1066564800.0,,,0.695792
1066586400.0,,,-0.3354563
1066608000.0,,,0.57078904
1066629600.0,,,1.8520467
1066651200.0,,,1.3676593
1066672800.0,,,-0.44483006
1066694400.0,,,-2.5073276
1066716000.0,,,-1.3823317
1066737600.0,,,-0.7573282
1066759200.0,,,0.3989187
1066780800.0,,,1.1645428
1066802400.0,,,1.8832942
1066824000.0,,,2.5082927
1066845600.0,,,2.3051667
1066867200.0,,,3.102043
1066888800.0,,,3.2114172
1066910400.0,,,2.0864112
1066932000.0,,,-0.5542076
1066953600.0,,,-0.8823324
1066975200.0,,,-1.1479568
1066996800.0,,,0.36766744
1067018400.0,,,-0.6010787
1067040000.0,,,0.9301691
1067061600.0,,,1.5395433
1067083200.0,,,0.97704226
1067104800.0,,,-0.1323326
1067126400.0,,,-0.13232964
1067148000.0,,,0.21141738
1067169600.0,,,-1.3667052
1067191200.0,,,-0.2573335
1067212800.0,,,-0.6010813
1067234400.0,,,0.14891775
1067256000.0,,,0.039543062
1067277600.0,,,-0.03858238
1067299200.0,,,-3.1323314
1067320800.0,,,-0.8354544
1067342400.0,,,-1.6010762
1067364000.0,,,-0.46044934
1067385600.0,,,-0.3354557
1067407200.0,,,0.78954023
1067428800.0,,,-0.17920566
1067450400.0,,,2.2895436
1067472000.0,,,-0.5542056
1067493600.0,,,1.0864178
1067515200.0,,,1.6801689
1067536800.0,,,2.9926696
1067558400.0,,,1.8207899
1067580000.0,,,-0.6948311
1067601600.0,,,-0.5854587
1067623200.0,,,-1.6167032
1067644800.0,,,-2.3667068
1067666400.0,,,0.72703844
1067688000.0,,,-1.054204
1067709600.0,,,0.35204563
1067731200.0,,,0.60204697
1067752800.0,,,1.0082949
1067774400.0,,,0.41454554
1067796000.0,,,-0.11670561
1067817600.0,,,1.6020429
1067839200.0,,,-1.3667066
1067860800.0,,,1.0239186
1067882400.0,,,-1.0385807
1067904000.0,,,-0.33545664
1067925600.0,,,-2.6479542
1067947200.0,,,-0.7104561
1067968800.0,,,-0.41358215
1067990400.0,,,0.6801652
1068012000.0,,,-0.50733083
1068033600.0,,,0.82079154
1068055200.0,,,-1.0542052
1068076800.0,,,3.508291
1068098400.0,,,0.52392256
1068120000.0,,,2.0395432
1068141600.0,,,2.7739182
1068163200.0,,,2.7114174
1068184800.0,,,1.9457935
1068206400.0,,,1.4145445
1068228000.0,,,-0.44483477
1068249600.0,,,-0.74171
1068271200.0,,,-2.3198304
1068292800.0,,,0.1957904
1068314400.0,,,-0.44483295
1068336000.0,,,0.16454582
1068357600.0,,,0.7114194
1068379200.0,,,0.24266925
1068400800.0,,,1.5707943
1068422400.0,,,2.9770396
1068444000.0,,,0.39891756
1068465600.0,,,1.7114189
1068487200.0,,,0.6020442
1068508800.0,,,2.1489167
1068530400.0,,,0.727045
1068552000.0,,,0.6332933
1068573600.0,,,0.22704393
1068595200.0,,,0.41454256
1068616800.0,,,-0.4760805
1068638400.0,,,-0.60108274
1068660000.0,,,0.117668435
1068681600.0,,,-0.21045685
1068703200.0,,,-2.2260811
1068724800.0,,,-0.21045835
