time,latitude,longitude,VGRD_10m
850845600.0,,,-2.6197302
850867200.0,,,-3.3384793
850888800.0,,,-3.7759778
850910400.0,,,-2.041605
850932000.0,,,1.6302699
850953600.0,,,-0.27597946
850975200.0,,,-1.3697238
850996800.0,,,4.786517
851018400.0,,,0.47401825
851040000.0,,,1.708395
851061600.0,,,1.3490173
851083200.0,,,-0.4947305
851104800.0,,,1.0208962
851126400.0,,,2.427146
851148000.0,,,2.56777
851169600.0,,,2.520898
851191200.0,,,-1.1197393
851212800.0,,,-2.9634798
851234400.0,,,-2.1666055
851256000.0,,,-2.8384793
851277600.0,,,-0.9322271
851299200.0,,,-0.1978548
851320800.0,,,-1.4009798
851342400.0,,,0.17714494
851364000.0,,,0.7865239
851385600.0,,,1.4896472
851407200.0,,,-0.5728552
851428800.0,,,-0.24473168
851450400.0,,,0.86464584
851472000.0,,,1.1146449
851493600.0,,,-4.0884814
851515200.0,,,-4.2916045
851536800.0,,,1.255269
851558400.0,,,3.0208943
851580000.0,,,-0.5103553
851601600.0,,,0.44276863
851623200.0,,,0.052145284
851644800.0,,,-3.7447288
851666400.0,,,-2.229104
851688000.0,,,-0.5728532
851709600.0,,,-0.16660763
851731200.0,,,-1.6666094
851752800.0,,,-0.08847733
851774400.0,,,0.86464465
851796000.0,,,0.9583953
851817600.0,,,4.3958883
851839200.0,,,6.114628
851860800.0,,,2.2083952
851882400.0,,,-2.4947295
851904000.0,,,-1.4009805
851925600.0,,,-1.3541055
851947200.0,,,-0.9634779
851968800.0,,,0.38027018
851990400.0,,,2.3177698
852012000.0,,,2.2083943
852033600.0,,,1.4740192
852055200.0,,,-0.5259807
852076800.0,,,-3.244731
852098400.0,,,-2.1509788
852120000.0,,,4.9740186
852141600.0,,,1.5677696
852163200.0,,,3.5521429
852184800.0,,,0.9115201
852206400.0,,,1.5208962
852228000.0,,,0.8646436
852249600.0,,,1.9271449
852271200.0,,,1.6927701
852292800.0,,,0.8958951
852314400.0,,,0.9115194
852336000.0,,,-4.928831
852357600.0,,,-4.460082
852379200.0,,,-4.7725816
852400800.0,,,-4.7569566
852422400.0,,,-3.4444582
852444000.0,,,-3.6944556
852465600.0,,,-1.6475793
852487200.0,,,0.024297869
852508800.0,,,-1.3819547
852530400.0,,,-3.4444573
852552000.0,,,-5.3350825
852573600.0,,,-6.210082
852595200.0,,,-5.960082
852616800.0,,,-3.3194535
852638400.0,,,-1.2413307
852660000.0,,,-7.10071
852681600.0,,,-8.11633
852703200.0,,,-7.006956
852724800.0,,,-5.7569575
852746400.0,,,-4.741331
852768000.0,,,-3.694458
852789600.0,,,-2.350709
852811200.0,,,-2.116332
852832800.0,,,-1.8350822
852854400.0,,,-2.1319556
852876000.0,,,-1.3350825
852897600.0,,,-1.1632051
852919200.0,,,0.7742842
852940800.0,,,0.9930448
852962400.0,,,-0.35070506
852984000.0,,,-0.6788257
853005600.0,,,0.9930451
853027200.0,,,-5.5850825
853048800.0,,,-5.2569566
853070400.0,,,-5.6163306
853092000.0,,,-5.475707
853113600.0,,,-5.163205
853135200.0,,,-4.506957
853156800.0,,,-3.1475763
853178400.0,,,2.1024199
853200000.0,,,-0.1632048
853221600.0,,,-4.210082
853243200.0,,,-4.678831
853264800.0,,,-6.05383
853286400.0,,,-8.116332
853308000.0,,,-5.6475825
853329600.0,,,2.5555406
853351200.0,,,-7.6163206
853372800.0,,,-7.881956
853394400.0,,,-7.1632066
853416000.0,,,-6.0694575
853437600.0,,,-5.8038306
853459200.0,,,-4.772581
853480800.0,,,-4.6632066
853502400.0,,,-3.225709
853524000.0,,,-2.2882073
853545600.0,,,-2.2257075
853567200.0,,,-2.6788301
853588800.0,,,-2.6007059
853610400.0,,,-3.444455
853632000.0,,,-1.2882091
853653600.0,,,-1.6319561
853675200.0,,,0.25867215
853696800.0,,,2.2430384
853718400.0,,,-5.6319566
853740000.0,,,-5.3975825
853761600.0,,,-6.4757047
853783200.0,,,-6.3038306
853804800.0,,,-6.0069556
853826400.0,,,-5.4444556
853848000.0,,,-3.8975794
853869600.0,,,0.30554235
853891200.0,,,0.8992924
853912800.0,,,-3.4600785
853934400.0,,,-0.50695485
853956000.0,,,-3.4913297
853977600.0,,,-7.8194585
853999200.0,,,-9.022583
854020800.0,,,-4.350702
854042400.0,,,-1.1944517
854064000.0,,,-7.2882037
854085600.0,,,-7.553832
854107200.0,,,-6.850708
854128800.0,,,-5.897582
854150400.0,,,-5.053832
854172000.0,,,-4.663207
854193600.0,,,-4.460081
854215200.0,,,-2.881956
854236800.0,,,-3.0382051
854258400.0,,,-3.631957
854280000.0,,,-2.100706
854301600.0,,,-2.0694566
854323200.0,,,-1.756954
854344800.0,,,-0.5850832
854366400.0,,,1.1492921
854388000.0,,,-3.97571
854409600.0,,,-5.8819566
854431200.0,,,-5.6944566
854452800.0,,,-6.11633
854474400.0,,,-6.0225816
854496000.0,,,-5.506956
854517600.0,,,-5.1319575
854539200.0,,,-4.631954
854560800.0,,,-2.7413313
854582400.0,,,-1.6007092
854604000.0,,,0.9617971
854625600.0,,,-2.1788294
854647200.0,,,5.711783
854668800.0,,,-6.694452
854690400.0,,,-10.17883
854712000.0,,,-2.6163318
854733600.0,,,-2.7413383
854755200.0,,,-6.0382056
854776800.0,,,-6.7100797
854798400.0,,,-6.74133
854820000.0,,,-6.67883
854841600.0,,,-5.3663325
854863200.0,,,-5.2257056
854884800.0,,,-4.663207
854906400.0,,,-4.163207
854928000.0,,,-4.647583
854949600.0,,,-5.6007056
854971200.0,,,-1.0538313
854992800.0,,,-0.31945542
855014400.0,,,-0.506959
855036000.0,,,0.008669651
855057600.0,,,0.75866276
855079200.0,,,1.164916
855100800.0,,,-5.6319566
855122400.0,,,-5.0069575
855144000.0,,,-5.022582
855165600.0,,,-5.0694585
855187200.0,,,-5.6632047
855208800.0,,,-5.3819556
855230400.0,,,-4.6944556
855252000.0,,,-4.08508
855273600.0,,,-3.44446
855295200.0,,,2.0399218
855316800.0,,,1.180548
855338400.0,,,0.38366598
855360000.0,,,-3.0069544
855381600.0,,,-6.116328
855403200.0,,,-4.116332
855424800.0,,,-6.2257066
855446400.0,,,-6.163207
855468000.0,,,-6.2257066
855489600.0,,,-6.006957
855511200.0,,,-6.241332
855532800.0,,,-6.256956
855554400.0,,,-5.975706
855576000.0,,,-5.381957
855597600.0,,,-5.460083
855619200.0,,,-5.600707
855640800.0,,,-5.3975825
855662400.0,,,-2.9288325
855684000.0,,,-0.63196
855705600.0,,,-0.81945735
855727200.0,,,-0.6475831
855748800.0,,,-2.9757082
855770400.0,,,-0.42883378
855792000.0,,,-4.960081
855813600.0,,,-5.1163316
855835200.0,,,-4.8819566
855856800.0,,,-4.631956
855878400.0,,,-4.506957
855900000.0,,,-4.6944547
855921600.0,,,-5.0069537
855943200.0,,,-4.1319556
855964800.0,,,-2.4757042
855986400.0,,,-1.9288232
856008000.0,,,3.243044
856029600.0,,,-1.7569474
856051200.0,,,-1.7569556
856072800.0,,,-3.3038306
856094400.0,,,-4.8819556
856116000.0,,,-5.7413306
856137600.0,,,-5.413206
856159200.0,,,-5.99133
856180800.0,,,-6.4600844
856202400.0,,,-6.0850816
856224000.0,,,-6.1007066
856245600.0,,,-6.288207
856267200.0,,,-5.9913316
856288800.0,,,-5.694456
856310400.0,,,-5.756956
856332000.0,,,-6.0225806
856353600.0,,,-5.006956
856375200.0,,,-3.038207
856396800.0,,,-2.2725816
856418400.0,,,-2.366333
856440000.0,,,-4.3350797
856461600.0,,,0.07116923
856483200.0,,,-4.928833
856504800.0,,,-5.6475816
856526400.0,,,-4.381957
856548000.0,,,-4.131956
856569600.0,,,-3.8819568
856591200.0,,,-4.1944575
856612800.0,,,-4.006957
856634400.0,,,-3.42883
856656000.0,,,-2.1632044
856677600.0,,,0.57117426
856699200.0,,,0.46180072
856720800.0,,,0.68055236
856742400.0,,,-0.5225815
856764000.0,,,-2.1944568
856785600.0,,,-5.194455
856807200.0,,,-5.210082
856828800.0,,,-5.96008
856850400.0,,,-5.9132056
856872000.0,,,-6.069456
856893600.0,,,-6.36633
856915200.0,,,-6.163207
856936800.0,,,-6.6319566
856958400.0,,,-5.913206
856980000.0,,,-5.0069566
857001600.0,,,-5.256956
857023200.0,,,-4.8038316
857044800.0,,,-4.725705
857066400.0,,,-4.58508
857088000.0,,,-2.6007082
857109600.0,,,-2.538206
857131200.0,,,-2.6007063
857152800.0,,,-1.1007106
857174400.0,,,-5.5382032
857196000.0,,,-5.2413344
857217600.0,,,-5.7100816
857239200.0,,,-5.006956
857260800.0,,,-4.710083
857282400.0,,,-4.381956
857304000.0,,,-4.100708
857325600.0,,,-3.8194559
857347200.0,,,-2.2569544
857368800.0,,,0.13366464
857390400.0,,,0.19617406
857412000.0,,,0.96179163
857433600.0,,,-1.256953
857455200.0,,,-1.5225799
857476800.0,,,-4.3663316
857498400.0,,,-5.210081
857520000.0,,,-5.6632047
857541600.0,,,-5.631956
857563200.0,,,-5.803831
857584800.0,,,-6.2882056
