YR,MON,val
1981,8,-0.9
1981,9,-0.7
1981,10,0.3
1981,11,-0.5
1981,12,0.1
1982,1,-0.3
1982,2,0.2
1982,3,-0.8
1982,4,0.2
1982,5,0.4
1982,6,0.9
1982,7,1.0
1982,8,1.2
1982,9,1.6
1982,10,1.6
1982,11,2.0
1982,12,1.7
1983,1,2.8
1983,2,3.1
1983,3,1.6
1983,4,0.2
1983,5,0.2
1983,6,0.3
1983,7,0.9
1983,8,0.7
1983,9,-0.1
1983,10,-0.2
1983,11,0.7
1983,12,1.0
1984,1,0.4
1984,2,-1.4
1984,3,-0.2
1984,4,0.2
1984,5,-0.4
1984,6,0.2
1984,7,-0.2
1984,8,-1.1
1984,9,-0.4
1984,10,0.5
1984,11,0.4
1984,12,-2.1
1985,1,0.7
1985,2,-1.3
1985,3,-2.0
1985,4,-2.2
1985,5,-1.9
1985,6,-0.3
1985,7,0.2
1985,8,-0.9
1985,9,-0.7
1985,10,-0.1
1985,11,-0.5
1985,12,0.2
1986,1,-1.8
1986,2,0.1
1986,3,0.1
1986,4,-0.5
1986,5,0.1
1986,6,-1.8
1986,7,-0.6
1986,8,-1.3
1986,9,-0.0
1986,10,0.1
1986,11,0.4
1986,12,2.1
1987,1,0.4
1987,2,0.5
1987,3,2.1
1987,4,1.5
1987,5,1.0
1987,6,0.2
1987,7,1.1
1987,8,0.8
1987,9,1.1
1987,10,0.4
1987,11,0.0
1987,12,0.4
1988,1,1.0
1988,2,-0.1
1988,3,-1.4
1988,4,0.2
1988,5,-0.6
1988,6,0.9
1988,7,-0.6
1988,8,-0.8
1988,9,-1.5
1988,10,-1.5
1988,11,-1.4
1988,12,-0.8
1989,1,-1.2
1989,2,-0.0
1989,3,-0.9
1989,4,-2.1
1989,5,-1.3
1989,6,-0.1
1989,7,-1.2
1989,8,-0.1
1989,9,-0.5
1989,10,-0.8
1989,11,-0.2
1989,12,1.4
1990,1,0.2
1990,2,2.9
1990,3,-0.0
1990,4,-0.2
1990,5,-1.1
1990,6,-0.5
1990,7,-0.6
1990,8,0.1
1990,9,1.0
1990,10,0.1
1990,11,0.2
1990,12,0.3
1991,1,-0.3
1991,2,-0.3
1991,3,1.1
1991,4,0.0
1991,5,1.0
1991,6,0.3
1991,7,-0.0
1991,8,0.6
1991,9,1.0
1991,10,0.3
1991,11,1.1
1991,12,1.0
1992,1,3.1
1992,2,0.8
1992,3,2.0
1992,4,1.0
1992,5,-0.4
1992,6,-0.4
1992,7,1.3
1992,8,-0.5
1992,9,-0.9
1992,10,0.4
1992,11,0.5
1992,12,-0.1
1993,1,0.1
1993,2,-0.4
1993,3,1.6
1993,4,1.4
1993,5,0.8
1993,6,0.9
1993,7,0.1
1993,8,1.6
1993,9,1.1
1993,10,1.1
1993,11,0.1
1993,12,-0.4
1994,1,0.0
1994,2,-0.3
1994,3,1.0
1994,4,0.8
1994,5,0.5
1994,6,-0.0
1994,7,0.6
1994,8,1.4
1994,9,1.1
1994,10,1.0
1994,11,0.8
1994,12,1.7
1995,1,0.3
1995,2,0.9
1995,3,-1.0
1995,4,-0.3
1995,5,0.1
1995,6,0.1
1995,7,-0.7
1995,8,-0.2
1995,9,-0.2
1995,10,-0.5
1995,11,-0.1
1995,12,0.1
1996,1,-0.9
1996,2,-0.6
1996,3,-0.8
1996,4,-0.8
1996,5,0.6
1996,6,-0.5
1996,7,-0.8
1996,8,-0.9
1996,9,-1.8
1996,10,-1.0
1996,11,-0.5
1996,12,-1.6
1997,1,0.6
1997,2,-1.8
1997,3,0.2
1997,4,1.8
1997,5,0.4
1997,6,1.6
1997,7,0.8
1997,8,1.6
1997,9,2.2
1997,10,2.4
1997,11,2.3
1997,12,1.1
1998,1,1.0
1998,2,3.1
1998,3,1.5
1998,4,1.1
1998,5,0.0
1998,6,-0.8
1998,7,-0.8
1998,8,-0.6
1998,9,-0.6
1998,10,-1.1
1998,11,-1.5
1998,12,-1.4
1999,1,-1.6
1999,2,-0.6
1999,3,-1.8
1999,4,-1.1
1999,5,0.6
1999,6,0.2
1999,7,-0.2
1999,8,0.6
1999,9,0.1
1999,10,-0.4
1999,11,-0.8
1999,12,-0.7
2000,1,0.0
2000,2,-0.2
2000,3,-0.8
2000,4,-1.2
2000,5,0.2
2000,6,0.5
2000,7,-0.3
2000,8,-1.1
2000,9,-0.2
2000,10,-1.5
2000,11,-2.2
2000,12,-2.3
2001,1,0.5
2001,2,-3.0
2001,3,-0.4
2001,4,-0.4
2001,5,0.6
2001,6,-0.7
2001,7,-0.0
2001,8,-0.1
2001,9,-0.4
2001,10,-0.8
2001,11,-0.5
2001,12,0.3
2002,1,0.5
2002,2,-0.2
2002,3,0.7
2002,4,0.1
2002,5,0.6
2002,6,0.2
2002,7,1.1
2002,8,0.3
2002,9,0.7
2002,10,-0.2
2002,11,0.8
2002,12,1.5
2003,1,0.2
2003,2,-0.2
2003,3,0.1
2003,4,0.6
